Sr.No ,Questions ,Answers ,Department ,Sub-Department ,Remarks ,Status
21,What are the brokerage charges for a minor account?,"Choice FinX offers minor accounts with brokerage charges structured similarly to regular accounts. For Equity Delivery, the brokerage is 0.20%, while for Intraday, Futures, and Currency Futures, it's 0.02%. Equity Options have a flat fee of ₹25 per lot, and Commodity Futures and Options also have their respective charges.",Equity,EDP,,
22,What are the brokerage charges for futures and options?,Brokerage charges for Future is 0.02% & for Options is ₹25 per lot,Equity,EDP,,
23,What are the brokerage charges for commodities?,Brokerage charges for Future is 0.02% & for Options is ₹50 per lot,Equity,EDP,,
24,What is a margin penalty?,"A margin penalty is a fee charged when a trading account doesn't have enough funds to meet the required margin for a trade. Essentially, it's a penalty for failing to maintain the necessary financial cushion or ""margin"" needed to cover potential losses on a leveraged trade.",Equity,EDP,,
25,Why is a margin penalty charged?,"A margin penalty is charged when a trading account doesn't have enough funds to cover the required margin, or when a trader fails to maintain sufficient margin. This penalty ensures that brokers and exchanges can cover potential losses and settle trades, especially when dealing with leveraged products like futures and options.",Equity,EDP,,
26,How can I deposit money using net banking?,Log into Choice FinX > Navigate to Funds > Select Deposit > Choose Net Banking > Enter Amount > Select Bank Account > Proceed to Net Banking > Complete Transaction > Confirmation > Check Funds,Equity,Accounts,,
27,What is the process to add funds through NEFT/RTGS?,"Log in to the application, go to 'More Options' > 'Funds' > 'NEFT/RTGS/Cheque Info'",Equity,Accounts,,
28,How do I deposit money using UPI?,"Log in to the application, go to 'More Options' > 'Funds' > 'UPI'",Equity,Accounts,,
29,How can I check the funds transferred to my trading account?,"Log in to the application, go to 'More Options' > 'Funds' > 'Transaction History'",Equity,Accounts,,
30,What is the process to withdraw funds from my Choice trading account?,"Log in to the application, go to 'More Options' > 'Funds' > 'Withdraw'",Equity,Accounts,,
31,How long does it take to process a withdrawal request?,"Withdrawal requests are processed within 24 hours on business days. However, NEFT withdrawals may take up to T+1 working day to reflect in your bank account.",Equity,Accounts,,
32,How can I check the available balance that I can withdraw?,"Log in to the application, go to 'More Options' > 'Funds' > 'Check Available Balance'",Equity,Accounts,,
33,Is it possible to add funds through cheque mode?,"yes, for deposit bank details follow this path (Login to application go to more option-> Funds->NEFT/RTGS/Cheque info)",Equity,Accounts,,
34,How can I check the available trading balance in my Choice account?,"You can check your available trading balance by logging into your Choice trading account and navigating to the Funds section, where your available margin and funds will be displayed.",Equity,Accounts,,
35,My Payout request is not processed. What could be the reason?,"If your payout request isn't processed, common reasons include incorrect bank details, insufficient funds, account issues (suspension or closure), technical problems, or pending verification.",Equity,Accounts,,
36,Can I transfer funds from someone else's account to my trading account?,"No, you cannot transfer funds from someone else's bank account to your trading account, as SEBI (Securities and Exchange Board of India) regulations prohibit third-party transfers.",Equity,Accounts,,
37,Is there any charge for fund transfers via UPI/IMPS/NEFT?,"The broker doesn’t charge, but your bank may levy IMPS/NEFT fees. UPI is usually free.",Equity,Accounts,,
38,"I transferred funds to my trading account, but it’s not showing.","If funds transferred to your trading account aren't showing up, check your bank's transaction status, confirm successful transfer, and contact your broker or bank if needed, as delays can occur due to various reasons such as Technical issue, Pending transfer, Failed transaction.",Equity,Accounts,,
39,Is there any minimum withdrawal amount or charge?,"There’s no minimum limit, and most brokers offer free fund withdrawals. Check your broker’s policy in the fund transfer section.",Equity,Accounts,,
40,What is ledger summery report?,"Is a comprehensive record of all transactions, including fund movements, charges, and security transactions, providing a summary of the account's financial activity over a specific period.",Equity,Back office,,
41,What is global detail report?,Global Details report provides you the entire trade details done for the day wise,Equity,Back office,,
42,What is global Summery report?,Global Summary report provides you the entire trade details done for the year,Equity,Back office,,
43,How is delay pay in charges calculated?,An interest of 21% per annum is charged as delay pay-in charges in case your account runs into a debit. The interest is calculated on a daily basis on the closing balance of the day and is then adjusted on monthly basis from your trading account. The charges are calculated as under: Balance on particular date (Un-Cleared collections are not considered) * 21/100 * No of days /365,Equity,Back office,,
44,Why are delay pay in charges levied?,Delay pay in charges levied in case your account runs into a debit.,Equity,Back office,,
45,How to check ledger in back office?,login to backoffice.choiceindia.com -> ledger,Equity,Back office,,
46,How to download contract note from back office?,Log in to the Choice App > Navigate to Reports/Statements > Select Contract Note > Choose Date Range > Download the Report,Equity,Back office,,
47,How to download Global P&L from back office?,Log in to the Choice App > Navigate to Reports/Statements > Download the P&L,Equity,Back office,,
48,How to give payin request in back office?,login to backoffice.choiceindia.com -> Request -> Payin Request,Equity,Back office,,
49,How to give Payout request in back office?,login to backoffice.choiceindia.com -> Request -> withdraw Funds,Equity,Back office,,
50,How to give pledge request in back office?,login to backoffice.choiceindia.com -> Request -> Margin pledge request,Equity,Back office,,
51,How to give pledge release request in back office?,login to backoffice.choiceindia.com -> Request -> pledge release request,Equity,Back office,,
52,How to add portfolio in back office?,login to backoffice.choiceindia.com -> Others -> Add portfolio,Equity,Back office,,
53,How to download DP holding from back office?,login to backoffice.choiceindia.com -> Others -> DP holding,Equity,Back office,,
54,How to check Portfolio in back office?,login to backoffice.choiceindia.com -> Reports -> Portfolio,Equity,Back office,,
55,How to check Net trading balance in back office?,login to backoffice.choiceindia.com -> Home ->Financial Information(Global),Equity,Back office,,
56,How too check our branch information in back office?,login to backoffice.choiceindia.com -> Home ->Branch Information,Equity,Back office,,
57,How too check our branch contact number in back office?,login to backoffice.choiceindia.com -> Home ->Branch Information,Equity,Back office,,
58,How to give branch change request,Client need send branch change request to client mapping team from his register mail ID with new branch details where he want to shift also need to mention the reason for the shifting,Equity,Back office,,
59,My name or date of birth (DOB) does not match.,"Identify the mismatch, gather supporting documents, apply for correction in the relevant authority (Aadhaar UIDAI website, PAN NSDL or UTIITSL, Passport seva portal or visit a PSK, etc.), and follow up until updated.",,KYC,,
60,I am unable to take a selfie.,"Make sure you have allowed Camera, Location, and Audio permissions for the Digio website in your browser settings.",,KYC,,
61,I did not receive the Aadhaar OTP.,This may be due to a delay from UIDAI. Please try again after some time.,,KYC,,
62,My full name is not getting fetched from DigiLocker.,"Ensure your name on your Aadhaar card matches the name on the document you're trying to fetch, and if not, update either your Aadhaar or the document to match. If the issue persists, contact DigiLocker Support.",,KYC,,
63,I don’t have a DigiLocker account. What should I do?,You can create a DigiLocker account at https://digilocker.gov.in to proceed with the process.,,KYC,,
64,I forgot my DigiLocker PIN.,"Go to the DigiLocker website > Click ""Sign In"" > Click ""Forgot Security PIN"" > Enter your Aadhaar number and Date of Birth > Submit and verify > Set a new PIN > Confirm the new PIN",,KYC,,
65,I did not receive the Email OTP.,"Double-check the email address you entered, wait a few minutes, and then check your spam/junk folder. If the problem persists, consider contacting the email provider's support or the service you're trying to access for further assistance.",,KYC,,
66,I received an unknown technical error.,"Refresh the page, clear cache, try a different browser or device, check your internet, and contact support if the issue persists.",,KYC,,
67,I don’t know which mobile number is linked to my Aadhaar.,Visit the UIDAI Website > Navigate to My Aadhaar > Select Aadhaar Services > Choose Verify Email/Mobile Number > Enter Details > Click Submit > Check the Result,,KYC,,
68,My IFSC code is not found when adding my bank details.,"Please upload valid bank proof (Cancelled Cheque, Passbook, or Bank Statement).",,KYC,,
69,My penny drop verification failed.,Upload valid bank proof and proceed with the process.,,KYC,,
70,I am unable to upload my signature.,"Ensure that your signature is on plain white paper with no shadows, grid lines, or creases.",,KYC,,
71,I don’t have income proof for segment activation.,"If you need to activate a segment for trading, but don't have income proof, you can still potentially activate it by providing alternative financial proof like a bank statement, salary slip, ITR acknowledgement, or Form 16.",,KYC,,
72,When will my account be activated?,"Your account will be activated after KRA verification, exchange approval, and DP activation.",,KYC,,
73,How long does account activation take?,"Account activation typically takes around 1-3 working days after submitting your account opening application, with some brokers offering faster activation times, especially for online KYC.",,KYC,,
74,How can I check my KRA status?,Visit https://www.cvlkra.com to check the status.,,KYC,,
75,How long does KRA verification take?,"KRA (Know Your Customer) verification, including email and mobile number validation, typically takes 3-5 working days after you have completed the online KYC process.",,KYC,,
76,"The app is showing an ""Invalid Link"" error.","Please log out and log back in. If your account is activated, the issue should be resolved.",,KYC,,
77,"My segment modification request is showing ""In Progress.""",A previous modification is still being processed. Please wait for it to be completed.,,KYC,,
78,"I am getting an error: ""Non-Compliant Client Code / Account Inactive / Not Registered.""",Your account is currently restricted from trading by the exchange. We will check the reason and update you. Trading cannot be resumed on the same day.,,KYC,,
79,I need the link to continue my on boarding.,You can continue on boarding at https://choiceindia.com/open-free-demat-account.,,KYC,,
80,Can I delete my lead?,"No, leads cannot be deleted, but corrections can be made if necessary.",,KYC,,
81,I entered the wrong Aadhaar number during on boarding.,You will need to restart the on boarding process from the DigiLocker page. The existing data will be erased.,,KYC,,
82,"I am getting a ""Selfie Does Not Match"" error on the review page.",Recapture the selfie. Make sure your face matches the photo on your Aadhaar card.,,KYC,,
83,I forgot to enter the referral code or entered the wrong one.,Check Broker’s Policy > Contact Customer Support > Provide Necessary Details > Check for Re-Registration Option,,KYC,,
84,Can I open an account using the same contact details as someone else?,"Generally, you cannot open a trading account using the same contact details (mobile number and email ID) as someone else, unless it's for a family member (spouse, dependent child, or dependent parent) as per regulatory guidelines.",,KYC,,
85,My contact number or email is already in use.,"If these details were used before, your account will need to be processed offline.",,KYC,,
86,My form verification is still pending.,"KYC (Know Your Customer) process is ongoing, and the broker is verifying your submitted documents. You can contact your broker's customer service or check their support channels for updates and potential issues.",,KYC,,
87,How can I check my account status?,"Check in the Connect portal. If UCC is pending, verify the KRA status. If KRA is approved, wait for exchange and DP approval.",,KYC,,
88,How can I generate my on boarding link?,"You'll need to install the app, create an account, and then follow the steps outlined in the app to initiate the onboarding process, which will likely involve entering personal and financial details and completing KYC verification.",,KYC,,
89,My account is not visible in Connect. What should I do?,You can complete on boarding at https://choiceindia.com/open-free-demat-account.,,KYC,,
90,How can I check the status of my modification request?,You can check the Modification Log in the Connect portal.,,KYC,,
91,My KRA status is Rejected / On Hold / Verified. What should I do?,"Submit a 2-page KRA form along with your PAN & Aadhaar. Alternatively, update your address through DigiLocker and submit the required documents.",,KYC,,
92,I am unable to trade or getting an order error.,This could be due to an exchange-related issue. We will check and update you. Trading cannot be resumed on the same day.,,KYC,,
93,I want to update my mobile number or email ID.,You can update your contact details through the modification request option available in the app or by contacting customer support.,,KYC,,
94,I entered the wrong bank details. How can I correct it?,"To correct a wrong bank detail in your trading account, you'll need to contact your broker or the platform where you opened your trading account and request an update, which may involve submitting a form or going through an online process.",,KYC,,
95,I want to activate F&O / Commodity segment after account opening.,"Log in to your trading platform > Navigate to Profile/Account > Find ""Segments"" or ""Trading Segments"" > Initiate Activation > Provide Income Proof > E-Sign > Wait for Approval",,KYC,,
96,"My KYC is showing as ""ON HOLD"" or ""REJECTED."" What should I do?",Re-submit your KYC documents via the modification request section or upload documents via DigiLocker.,,KYC,,
97,I didn’t get my client ID or welcome email.,"If your account is already activated, the welcome email should have been sent. Please check your spam folder or contact support.",,KYC,,
98,Can I open another demat account with the same PAN?,"Yes, you can open multiple Demat accounts using the same PAN, but each account must be with a different Depository Participant (DP) or broker.",,KYC,,
99,I want to change my nominee details.,You can update nominee details through the trading platform or submit a nominee modification form.,,KYC,,
100,I want to add a joint holder to my account.,Demat accounts can only be opened as individual or joint. You’ll need to open a new joint account by submitting KYC for both holders.,,KYC,,
101,How can I download my account opening form or agreement copy?,You can download your account documents from the client portal or request them via customer support.,,KYC,,
102,Where can I check my brokerage charges and other fees?,You can check the tariff sheet in the welcome email or on the broker’s official website under the pricing section.,,KYC,,
103,Can I open a demat account in the name of my minor child?,"Yes, you can open a demat account in the name of your minor child, but it will be operated by a guardian (typically a parent) until the child turns 18, and the account is used for holding securities, not for trading.",,KYC,,
104,How can I change my address in the demat account?,You can request an address change through DigiLocker-based KYC or submit a signed modification request with address proof.,,KYC,,
105,My documents are showing “blurred” or “unclear.”,"Upload high-quality scanned copies or clear mobile pictures of your PAN, Aadhaar, and other proofs without glare or shadow.",,KYC,,
106,I want to pause or temporarily freeze my account.,"You'll need to contact your Depository Participant (DP) or brokerage and request a freeze, which can be done through a form, online submission, or by contacting their customer service.",,KYC,,
107,I want to update my bank account. Can I add multiple accounts?,You can update your primary bank account and also add a secondary bank account for fund transfers with valid proof . Default bank will be only one at a time for Payout,,KYC,,
108,I am facing issues with eSign during the process.,Ensure your Aadhaar is linked with a mobile number and retry after allowing pop-ups and permissions in the browser.,,KYC,,
109,Can I open an account without a PAN card?,"No, a PAN card is mandatory to open a demat and trading account as per SEBI regulations.",,KYC,,
110,I am an NRI. Can I open an account with you?,"Yes, NRIs can open a NRI Trading & Demat account. You will need to submit additional documents like NRE/NRO bank details, PIS letter, and overseas address proof.",,KYC,,
111,What are the charges for opening a demat account?,"Account opening is usually free under most promotional offers. However, AMC (Annual Maintenance Charges) and transaction charges may apply.",,KYC,,
112,Do I need to maintain a minimum balance in my demat or trading account?,"No, there is no minimum balance requirement in a demat or trading account.",,KYC,,
113,Can I hold multiple demat accounts with the same broker?,"No, only one demat account per client is allowed with a broker under the same PAN.",,KYC,,
114,"My PAN is under KYC Registered, but the status is not updated. What can I do?",You can raise a KRA revalidation request or re-upload your KYC documents through the modification section.,,KYC,,
115,How can I activate eDIS (electronic DIS) for selling shares?,Login to Your Demat Account > Go to eDIS Section > Select Shares to Sell > Verify with OTP > Authorize via CDSL/NSDL > Sell Your Shares,,KYC,,
116,I want to transfer my shares from another demat account. What is the process?,"You can initiate an off-market transfer by submitting the DIS slip to your existing broker, or use CDSL Easiest if both accounts are in CDSL.",,KYC,,
117,Can I link my UPI for fund transfer to the trading account?,"Log in to Your Trading Platform > Navigate to the ""Funds"" or ""Add Money"" section > Select UPI as Payment Mode > Enter the Transfer Amount > Approve the Payment Request > Fund Transfer Confirmation via email/SMS from your broker.",,KYC,,
118,How can I activate SIP in mutual funds through the platform?,"You can start a SIP (Systematic Investment Plan) through the mutual fund section by entering the scheme, amount, and frequency.",,KYC,,
119,Can I apply for IPOs through the platform?,"Yes, you can apply for IPOs using your UPI ID via the broker’s app/web platform under the IPO section.",,KYC,,
120,How do I pledge my holdings for margin?,Go to the Pledge section on the trading platform and select the shares to pledge. Approve it via OTP from CDSL.,,KYC,,
121,"My account shows ""Suspended for trading."" What does it mean?","This could be due to regulatory restrictions, margin shortfall, or pending document verification. Please contact support.",,KYC,,
122,I want to convert my individual account into a joint account.,This is not possible. You will need to close the existing individual account and open a new joint account.,,KYC,,
123,Can I place GTT (Good Till Triggered) orders?,"Yes, you can place GTT orders if your broker supports it. It allows you to set buy/sell triggers without daily monitoring.",,KYC,,
124,How do I raise a ticket or complaint?,"You can raise a support ticket through the app or website, or email the support team with your registered contact details.",,KYC,,
125,Can I download my profit & loss or capital gain statement?,"Yes, visit the Reports section on your platform and download P&L, Tax P&L, or Capital Gains statement.",,KYC,,
126,I made a wrong fund transfer. Can I get a refund?,"Try contacting the recipient first to request a refund. If that fails, reach out to your bank or payment service provider immediately, and consider filing a complaint with the payment app or NPCI (National Payments Corporation of India).",,KYC,,
127,How do I know if my segment is active or not?,"You can check your segment status in the app or by contacting the support team. If not active, you can raise a request.",,KYC,,
128,What is the T+1 and T+2 settlement cycle?,"In the world of finance, ""T+1"" and ""T+2"" refer to the settlement cycles for securities transactions, meaning the number of business days after the trade date that the actual settlement (transfer of securities and funds) occurs. T+1 means one business day after the trade, while T+2 means two business days after the trade.",,KYC,,
129,How do I access my contract notes and daily reports?,Contract notes and daily margin reports are emailed to your registered ID and are also available in the Reports section of the platform.,,KYC,,
130,I received a warning or penalty from the exchange. What does it mean?,"This could be due to margin shortfall, intraday violations, or trading limits. Contact the compliance team for details.",,KYC,,
131,Can I activate or deactivate T-PIN for CDSL eDIS?,"Yes, you can enable or disable T-PIN authentication from the CDSL website or your broker’s platform.",,KYC,,
132,I want to open a Corporate or Partnership Demat Account.,"You can submit a request for a Corporate/Partnership account. Additional documents like Board Resolution, PAN, MOA/AOA, etc., will be required.",,KYC,,
133,Employee can open trading account ?,Yes Employee can open Trading or Demat account for Investment Purpose (Refer HR Policy),,KYC,,
134,Employee Family can open their account ?,Yes Employee's family also open Trading or Demat account for Investment Purpose (Refer HR Policy),,KYC,,
135,Employee Account Brokerage Charges ?,"Discounted Brokerage Slab is available for Employee and their family members, You need to Declare the same in portal.",,KYC,,
136,What is a Depository and how is it different from a Broker?,"A depository holds securities in electronic form (a Demat account), while a broker facilitates buying and selling of those securities on a stock exchange.",Equity,DP,,
137,How can I check my holdings directly with the depository?,"visit either the NSDL (for 14-digit Demat accounts) (National Securities Depository Limited) or CDSL (for 16-digit Demat accounts) (Central Depository Services Limited)website, log in, and enter your Demat account number to download your holding statement.",Equity,DP,,
138,What is the process to transfer shares from one demat account to another?,Submit a DIS Slip to your current broker or use CDSL Easiest (if enabled) for online off-market transfers.,Equity,DP,,
139,"I placed a sell order, but I received an SMS from CDSL for eDIS. What should I do?",Navigate to the eDIS Authorization > Find the Sell Order > Initiate Authorization > Enter TPIN and OTP > Verify and Submit,Equity,DP,,
140,What is the cut-off time for eDIS authorization?,"For eDIS (Electronic Demat Instruction) authorization, you need to authorize your trades before executing a sell transaction, and the authorization is valid for one calendar day (T-day).",Equity,DP,,
141,"What is a T-PIN, and how can I generate it?","A TPIN is a 6-digit code used to authorize the debit of securities from your Demat account for delivery sale transactions, provided by CDSL. To Generate > Log in to your brokerage platform > Navigate to the TPIN section > Request a new TPIN > Verify your identity > Receive your TPIN.",Equity,DP,,
142,"I transferred funds, but it's not reflecting in my trading account.","Please wait 15–30 minutes. If still not reflected, share the UTR/Reference Number and screenshot with support.",Equity,DP,,
143,How is fund settlement done for sell transactions?,For funds are credited to your ledger on T+1 day after sell order execution.,Equity,DP,,
144,What happens if I miss authorizing eDIS on time?,"The shares won't be debited from your demat, and the sell transaction will be treated as short delivery, attracting penalties.",Equity,DP,,
145,My pledged margin is not showing in the available balance.,Margins from pledged securities reflect only once we received the response from CDSL for successful margin Pledge,Equity,DP,,
146,What is the penalty for margin shortfall?,"It is a fee charged for failing to meet required margin levels, and it can vary based on the amount and duration of the shortfall, with penalties potentially compounding and being subject to GST.",Equity,DP,,
147,I requested a Payout but the funds are deducted and not credited to my bank.,"First verify the transaction details and contact your bank immediately to initiate a dispute or investigate the issue. Possible reasons : Technical issue, Failed transaction and Bank's internal issue.",Equity,DP,,
148,Can I change my default bank account for fund payouts?,"Yes, by submitting a bank mandate change request form, along with a cancelled cheque, to the mutual fund or its registrar.",Equity,DP,,
149,Do I have to keep any minimum balance of securities in my account?,No. The depository does not prescribe any minimum balance. You can have zero balance in your account.,Equity,DP,,
150,Can someone else operate my account on my behalf on the basis of a power of attorney?,"Yes. If you authorise any person to operate your account by executing a power of attorney and submit it to your DP, that person can operate the account on your behalf.",Equity,DP,,
151,What is DP holding report?,A DP holding report provides details of all the scrip holdings in your demat account.,Equity,DP,,
152,What will reflect in the Demat ledger?,This report provides the debit/credit entry of the AMC bill charged in your demat account,Equity,DP,,
153,Are joint holders of accounts allowed to nominate?,"Nomination for joint holders is permitted, however in the event of death of any of the holders the shares will be transmitted to the surviving holder's name. In the case of death of all holders the securities will be transmitted to the nominee account.",Equity,DP,,
154,What is the procedure for transmission in case of Joint Accounts?,"On submission of Transmission form and a notorised copy of death certificate of the deceased joint holder(s) in the event of death of the joint holder(s), the securities will be transmitted to the surviving holders account.",Equity,DP,,
155,What do you mean by dematerialisation?,Dematerialisation is a process by which physical certificates of a beneficial owner are converted into an equivalent number of securities in electronic form and is credited to his account with its DP.,Equity,DP,,
156,How to request for the DIS Book?,Client need send branch change request to customer care team from his register mail ID,Equity,DP,,
157,What do you mean by 'Off Market Trades'?,Off Market Trade' is one which is settled directly between two parties without the involvement of clearing corporation. The same delivery instruction slip can be used either for market trade or off-market trade by ticking either one of the two options.,Equity,DP,,
158,Are there any DP (Depository Participant) charges?,"Yes, DP charges apply to delivery sell transactions. Please verify the DP tariff for exact charges.",Equity,DP,,
159,How do I reset my trading app login password?,Click on “Forgot Password” on the login screen of the trading app and follow the steps to reset.,,FINX Platform/ WEB and technical,,
160,"My account is active, but I am unable to place any trades.",This could be due to exchange restrictions or pending segment approval. Please contact support for exact reasons.,,FINX Platform/ WEB and technical,,
161,My funds are not reflecting in my trading account. What should I do?,"If you’ve transferred funds, wait for 15–30 minutes. If not reflected, share the transaction reference ID with support.",,FINX Platform/ WEB and technical,,
162,Can I trade after market hours?,"You can place After Market Orders (AMO) through the platform, which will be sent to the exchange when it opens.",,FINX Platform/ WEB and technical,,
163,I'm unable to log in to the app or web platform. What should I do?,"Please check your internet connection, ensure the app is updated, and try again. If the issue persists, try logging in from another device or browser.",,FINX Platform/ WEB and technical,,
164,I forgot my login password. How can I reset it?,"Click on ‘Forgot Password’ on the login screen, enter your registered email/mobile number, and follow the instructions to reset it.",,FINX Platform/ WEB and technical,,
165,App is crashing or not opening.,"Clear the app cache from settings, update the app from Play Store/App Store, or reinstall it. If it continues, raise a support ticket.",,FINX Platform/ WEB and technical,,
166,I’m getting “Session Expired” frequently.,This happens due to inactivity or multiple logins. Please log out from other devices and ensure you're using only one active session.,,FINX Platform/ WEB and technical,,
167,My order is not getting placed. It says “Technical Error” or “Server Error”.,This may be due to temporary server downtime or connectivity issues. Retry after a few minutes or use the web version as an alternative.,,FINX Platform/ WEB and technical,,
168,The charts or live market data are not loading properly.,"Refresh the page, check your internet speed, or switch between WiFi and mobile data. Also, ensure the app is updated.",,FINX Platform/ WEB and technical,,
169,Getting “Invalid credentials” error while logging in.,"Double-check your client ID and password, ensure caps lock is off, and reset the password if necessary.",,FINX Platform/ WEB and technical,,
170,I’m unable to see my holdings or positions on the dashboard.,"This could be a temporary sync issue. Refresh the page or check after a few minutes. If still not visible, contact support.",,FINX Platform/ WEB and technical,,
171,"The funds are deducted from my bank, but not showing in the trading account.","Please wait for 15–30 mins. If the funds still don’t reflect, share the UTR number/screenshot with our team to verify.",,FINX Platform/ WEB and technical,,
172,Orders are getting rejected with unknown error codes.,"This might be due to RMS restriction, script ban, or margin shortfall. Kindly check your order logs or raise a ticket with the error details.",,FINX Platform/ WEB and technical,,
173,I am not receiving OTPs for login or transactions.,"Ensure DND is disabled, your number is active, and network signal is good. You can also try resending the OTP or switching to email OTP.",,FINX Platform/ WEB and technical,,
174,Market depth or LTP is not updating live.,"Check if you have real-time streaming enabled in app settings. Also, ensure your device time is synced to the network.",,FINX Platform/ WEB and technical,,
175,How to raise a support ticket from the app or website?,"Go to the ‘Support’ or ‘Help’ section, select the relevant issue category, and submit your query with screenshots if needed.",,FINX Platform/ WEB and technical,,
176,Getting “503 Service Unavailable” or “Gateway Timeout” errors.,This indicates server overload or maintenance downtime. Please wait for a few minutes and retry. We’re likely working to fix it quickly.,,FINX Platform/ WEB and technical,,
177,I accidentally logged out and now can’t access the app.,"Just re-login using your client ID and password. If credentials don’t work, reset your password from the login page.",,FINX Platform/ WEB and technical,,
178,I’m not able to update my profile or bank details online.,Ensure your KYC is verified and check if there's any pending modification already under process. Try after that is completed.,,FINX Platform/ WEB and technical,,
179,Login is successful but dashboard is showing blank or loading endlessly.,"Refresh the app, clear cache or use Incognito mode in browser. If issue persists, it may be a backend sync issue being worked on.",,FINX Platform/ WEB and technical,,
180,Getting error: “Client Code is inactive or disabled”.,This means your trading account is not yet fully activated or has been disabled. Kindly check with support for activation status.,,FINX Platform/ WEB and technical,,
181,App is showing old portfolio details or not syncing latest data.,"Use the Refresh or Sync button in the app. If it still doesn't update, logout and re-login. Backend sync is usually resolved quickly.",,FINX Platform/ WEB and technical,,
182,"Unable to set alerts, watchlists, or notifications.","Ensure app permissions are enabled for Notifications, and you’re using the latest app version. Re-add the watchlist if deleted.",,FINX Platform/ WEB and technical,,
183,I see a mismatch in fund balance vs. trading limit.,"This could be due to open positions, margin hold, or pending orders. Kindly check your fund ledger or margin report.",,FINX Platform/ WEB and technical,,
